,gross_amount,movie_name,open_time,year,tconst,title,releaseYear,runtimeMinutes,genres1,genres2,genres3,averageRating,numVotes,directorName,writerName
12,"$134,938,200",Ride Along,1/17,2014,tt1408253,Ride Along,2014,99,Action,Comedy,Crime,6.2,88274,Tim Story,Greg Coolidge
13,"$134,938,200",Ride Along,1/17,2014,tt2869728,Ride Along 2,2016,102,Action,Comedy,,5.9,43610,Tim Story,Phil Hay
14,"$126,663,600",Lucy,7/25,2014,tt2872732,Lucy,2014,89,Action,Sci-Fi,Thriller,6.4,377382,Luc Besson,Luc Besson
15,"$126,663,600",Lucy,7/25,2014,tt3890902,Lucky,2016,89,Action,Crime,Drama,5.3,261,Bari Kang,Bari Kang
16,"$126,663,600",Lucy,7/25,2014,tt5859238,Lucky,2017,88,Comedy,Drama,,7.4,7062,John Carroll Lynch,Logan Sparks
17,"$111,506,430",Mr. Peabody & Sherman,3/7,2014,tt0864835,Mr. Peabody & Sherman,2014,92,Adventure,Animation,Comedy,6.8,54070,Rob Minkoff,Jay Ward
18,"$106,580,051",300: Rise of An Empire,3/7,2014,tt1253863,300: Rise of an Empire,2014,102,Action,Fantasy,,6.2,249645,Noam Murro,Zack Snyder
19,"$101,530,738",The Equalizer,9/26,2014,tt0455944,The Equalizer,2014,132,Action,Crime,Thriller,7.2,262882,Antoine Fuqua,Richard Wenk
20,"$101,200,044",Noah,3/28,2014,tt1959490,Noah,2014,138,Action,Adventure,Drama,5.8,219236,Darren Aronofsky,Darren Aronofsky
21,"$92,168,600",Non-Stop,2/28,2014,tt2024469,Non-Stop,2014,106,Action,Mystery,Thriller,7.0,222817,Jaume Collet-Serra,John W. Richardson
22,"$91,125,683",The Imitation Game,11/28,2014,tt2084970,The Imitation Game,2014,114,Biography,Drama,History,8.0,572268,Morten Tyldum,Graham Moore
23,"$86,208,010",Dumb and Dumber To,11/14,2014,tt2096672,Dumb and Dumber To,2014,109,Adventure,Comedy,,5.6,110850,Bobby Farrelly,Sean Anders
24,"$84,525,432",Tammy,7/2,2014,tt2103254,Tammy,2014,97,Comedy,Romance,,4.9,41246,Ben Falcone,Melissa McCarthy
25,"$78,031,620",The Monuments Men,2/7,2014,tt2177771,The Monuments Men,2014,118,Drama,History,War,6.1,112631,George Clooney,George Clooney
26,"$60,755,732",God's Not Dead,3/21,2014,tt2528814,God's Not Dead,2014,113,Drama,,,4.8,36038,Harold Cronk,Hunter Dennis
27,"$59,700,064",Son of God,2/28,2014,tt3210686,Son of God,2014,138,Biography,Drama,History,5.7,16948,Christopher Spencer,Richard Bedser
28,"$59,301,324",The Grand Budapest Hotel,3/7,2014,tt2278388,The Grand Budapest Hotel,2014,99,Adventure,Comedy,Drama,8.1,581975,Wes Anderson,Stefan Zweig
29,"$56,280,355",Dracula Untold,10/10,2014,tt0829150,Dracula Untold,2014,92,Action,Drama,Fantasy,6.3,156523,Gary Shore,Matt Sazama
30,"$51,183,113",Muppets Most Wanted,3/21,2014,tt2281587,Muppets Most Wanted,2014,107,Adventure,Comedy,Crime,6.4,27267,James Bobin,James Bobin
31,"$50,856,010",Ouija,10/24,2014,tt1204977,Ouija,2014,89,Horror,Thriller,,4.5,40810,Stiles White,Juliet Snowden
32,"$50,837,305",The Boxtrolls,9/26,2014,tt0787474,The Boxtrolls,2014,96,Adventure,Animation,Comedy,6.8,47969,Graham Annable,Irena Brignull
33,"$50,577,412",Jack Ryan: Shadow Recruit,1/17,2014,tt1205537,Jack Ryan: Shadow Recruit,2014,105,Action,Drama,Thriller,6.2,107775,Kenneth Branagh,Adam Cozad
34,"$50,474,843",If I Stay,8/22,2014,tt1355630,If I Stay,2014,107,Drama,Fantasy,Music,6.8,99429,R.J. Cutler,Shauna Cross
35,"$47,602,194",Into The Storm,8/8,2014,tt2106361,Into the Storm,2014,89,Action,Thriller,,5.8,58601,Steven Quale,John Swetnam
36,"$45,090,374",The Giver,8/15,2014,tt0435651,The Giver,2014,97,Drama,Romance,Sci-Fi,6.5,99566,Phillip Noyce,Michael Mitnick
37,"$43,037,835",John Wick,10/24,2014,tt2911666,John Wick,2014,101,Action,Crime,Thriller,7.3,380546,David Leitch,Derek Kolstad
38,"$39,322,544",The Expendables 3,8/15,2014,tt0996664,The Extendables,2014,84,Comedy,,,4.3,179,Brian Thompson,Brian Thompson
39,"$39,322,544",The Expendables 3,8/15,2014,tt2333784,The Expendables 3,2014,126,Action,Adventure,Thriller,6.1,146387,Patrick Hughes,Sylvester Stallone
40,"$38,543,473",Sex Tape,7/18,2014,tt1956620,Sex Tape,2014,94,Comedy,Romance,,5.1,95039,Jake Kasdan,Kate Angelo
41,"$34,296,320",This is Where I Leave You,9/19,2014,tt1371150,This Is Where I Leave You,2014,103,Comedy,Drama,,6.6,61700,Shawn Levy,Jonathan Tropper
42,"$33,680,992",The Gambler,12/25,2014,tt2924336,The Gambler,2013,109,Drama,Thriller,,7.3,1390,Ignas Jonynas,Ignas Jonynas
43,"$32,462,372",Paranormal Activity: The Marked Ones,1/3,2014,tt2473682,Paranormal Activity: The Marked Ones,2014,84,Horror,Thriller,,5.0,35211,Christopher Landon,Christopher Landon
44,"$32,381,217",Nightcrawler,10/31,2014,tt2872718,Nightcrawler,2014,118,Crime,Drama,Thriller,7.9,366581,Dan Gilroy,Dan Gilroy
45,"$31,424,003",Chef,5/9,2014,tt3526538,Che,2014,125,Biography,War,,6.2,1105,Ebrahim Hatamikia,Ebrahim Hatamikia
46,"$30,703,100",Get On Up,8/1,2014,tt2473602,Get on Up,2014,139,Biography,Drama,Music,6.9,17996,Tate Taylor,Jez Butterworth
47,"$30,697,999",3 Days to Kill,2/21,2014,tt2172934,3 Days to Kill,2014,117,Action,Drama,Thriller,6.2,77332,McG,Adi Hasak
48,"$30,577,122",Deliver Us From Evil,7/2,2014,tt4134826,But Deliver Us from Evil,2017,109,Horror,Thriller,,2.9,109,Joshua Coates,Joshua Coates
49,"$27,695,246",Oculus,4/11,2014,tt2388715,Oculus,2013,104,Horror,Mystery,,6.5,99346,Mike Flanagan,Mike Flanagan
50,"$26,766,213",The Best of Me,10/17,2014,tt1972779,The Best of Me,2014,118,Drama,Romance,,6.7,53888,Michael Hoffman,Nicholas Sparks
51,"$26,766,213",The Best of Me,10/17,2014,tt3243900,The Best of It,2016,118,Documentary,Drama,,7.1,14,Scott Pearson Eberly,Scott Pearson Eberly
52,"$26,307,600",A Walk Among the Tombstones,9/19,2014,tt0365907,A Walk Among the Tombstones,2014,114,Crime,Drama,Mystery,6.5,98701,Scott Frank,Lawrence Block
53,"$25,317,379",Top Five,12/12,2014,tt2784678,Top Five,2014,102,Comedy,Romance,,6.4,23939,Chris Rock,Chris Rock
54,"$25,018,119",The November Man,8/27,2014,tt2402157,The November Man,2014,108,Action,Crime,Thriller,6.3,56326,Roger Donaldson,Michael Finch
55,"$21,321,100",As Above/So Below,8/29,2014,tt2870612,"As Above, So Below",2014,93,Horror,Mystery,Thriller,6.2,59837,John Erick Dowdle,John Erick Dowdle
56,"$20,396,829",Brick Mansions,4/25,2014,tt1430612,Brick Mansions,2014,90,Action,Crime,Sci-Fi,5.7,35702,Camille Delamarre,Luc Besson
57,"$19,075,290","I, Frankenstein",1/24,2014,tt1418377,"I, Frankenstein",2014,92,Action,Fantasy,Horror,5.1,72243,Stuart Beattie,Stuart Beattie
58,"$17,780,194",Bears,4/18,2014,tt2458776,Bears,2014,78,Documentary,,,7.4,5681,Keith Scholey,Alastair Fothergill
59,"$17,329,486",A Haunted House 2,4/18,2014,tt2828996,A Haunted House 2,2014,86,Comedy,Fantasy,,4.7,16839,Michael Tiddes,Marlon Wayans
60,"$17,237,855",A Most Wanted Man,7/25,2014,tt1972571,A Most Wanted Man,2014,122,Crime,Drama,Thriller,6.8,64536,Anton Corbijn,Andrew Bovell
61,"$16,170,632",Begin Again,6/27,2014,tt1945037,Begin Again,2013,68,Drama,Family,,7.0,53,Bill Gillane,Joshua Samson
62,"$16,170,632",Begin Again,6/27,2014,tt1980929,Begin Again,2013,104,Comedy,Drama,Music,7.4,121259,John Carney,John Carney
63,"$15,821,461",Devil's Due,1/17,2014,tt2396711,Devil's Deal,2013,101,Drama,Horror,Thriller,2.6,159,Allen Reed,Allen Reed
64,"$15,821,461",Devil's Due,1/17,2014,tt2752758,Devil's Due,2014,89,Horror,Mystery,Thriller,4.1,15003,Matt Bettinelli-Olpin,Lindsay Devlin
65,"$15,160,801",And So It Goes,7/25,2014,tt2465146,And So It Goes,2014,94,Comedy,Drama,Romance,5.8,10766,Rob Reiner,Mark Andrus
66,"$14,618,727",Beyond the Lights,11/14,2014,tt3125324,Beyond the Lights,2014,116,Drama,Music,Romance,6.9,13219,Gina Prince-Bythewood,Gina Prince-Bythewood
67,"$13,371,528",Labor Day,1/31,2014,tt1967545,Labor Day,2013,111,Drama,Romance,,6.9,36267,Jason Reitman,Jason Reitman
68,"$10,539,326",Magic in the Moonlight,7/25,2014,tt2870756,Magic in the Moonlight,2014,97,Comedy,Romance,,6.6,55587,Woody Allen,Woody Allen
69,"$8,462,027",Legends of Oz: Dorothy's Return,5/9,2014,tt0884726,Legends of Oz: Dorothy's Return,2013,88,Adventure,Animation,Family,5.5,5332,Will Finn,Roger S. Baum
70,"$5,749,134",A Most Violent Year,12/31,2014,tt2937898,A Most Violent Year,2014,125,Crime,Drama,Thriller,7.0,55174,J.C. Chandor,J.C. Chandor
71,"$5,284,309",The Skeleton Twins,9/12,2014,tt1571249,The Skeleton Twins,2014,93,Comedy,Drama,Romance,6.8,35117,Craig Johnson,Craig Johnson
72,"$5,209,580",The Wind Rises,2/21,2014,tt2013293,The Wind Rises,2013,126,Animation,Biography,Drama,7.8,54837,Hayao Miyazaki,Hayao Miyazaki
73,"$4,438,438",The Railway Man,4/11,2014,tt2058107,The Railway Man,2013,116,Biography,Drama,Romance,7.1,32583,Jonathan Teplitzky,Frank Cottrell Boyce
74,"$3,958,500",Mr. Turner,12/19,2014,tt2473794,Mr. Turner,2014,150,Biography,Drama,History,6.8,21308,Mike Leigh,Mike Leigh
75,"$3,827,060",Ida,5/2,2014,tt2718492,Ida,2013,82,Drama,,,7.4,41959,Pawel Pawlikowski,Pawel Pawlikowski
76,"$3,769,873",Fading Gigolo,4/18,2014,tt2258345,Fading Gigolo,2013,90,Comedy,,,6.2,21485,John Turturro,John Turturro
77,"$3,591,299",Wish I Was Here,7/18,2014,tt2870708,Wish I Was Here,2014,106,Comedy,Drama,,6.7,33191,Zach Braff,Adam J. Braff
78,"$3,494,070",Mommy,9/19,2014,tt3612616,Mommy,2014,139,Drama,,,8.1,38316,Xavier Dolan,Xavier Dolan
79,"$3,430,018",The Grand Seduction,5/30,2014,tt2319580,The Grand Seduction,2013,113,Comedy,,,7.0,13516,Don McKellar,Ken Scott
80,"$3,322,127",Veronica Mars,3/14,2014,tt2771372,Veronica Mars,2014,107,Crime,Drama,Mystery,6.8,44910,Rob Thomas,Rob Thomas
81,"$3,128,941",Rosewater,11/14,2014,tt2752688,Rosewater,2014,103,Biography,Drama,,6.6,9431,Jon Stewart,Jon Stewart
82,"$2,880,537",The Trip to Italy,8/15,2014,tt2967006,The Trip to Italy,2014,108,Comedy,Drama,,6.6,12908,Michael Winterbottom,Michael Winterbottom
83,"$2,756,333",The Pyramid,12/5,2014,tt2799166,The Pyramid,2014,89,Action,Adventure,Horror,4.6,20007,Gr¨¦gory Levasseur,Daniel Meersand
84,"$2,627,209",The Raid 2,3/28,2014,tt2265171,The Raid 2,2014,150,Action,Thriller,,8.0,97101,Gareth Evans,Gareth Evans
85,"$2,553,002",Dragon Ball Z: Battle of Gods,8/5,2014,tt2263944,Dragon Ball Z: Battle of Gods,2013,85,Action,Animation,Comedy,7.3,22060,Masahiro Hosoda,Akira Toriyama
86,"$2,472,695",Kick,7/25,2014,tt2402127,Kick,2015,76,Drama,Horror,Thriller,3.2,214,Marcus Warren,Marcus Warren
87,"$2,450,846",Kill the Messenger,10/10,2014,tt1216491,Kill the Messenger,2014,112,Biography,Crime,Drama,7.0,38101,Michael Cuesta,Peter Landesman
88,"$2,429,989",The Homesman,11/14,2014,tt2398231,The Homesman,2014,122,Drama,Western,,6.6,25732,Tommy Lee Jones,Tommy Lee Jones
89,"$2,300,121",Ode to My Father,12/25,2014,tt3812366,Ode to My Father,2014,126,Drama,,,7.8,2453,JK Youn,Soo-jin Park
90,"$2,300,121",Ode to My Father,12/25,2014,tt3910582,Ode to My Mother,2014,55,Biography,Documentary,,8.6,23,Georges Chamchoum,Souzan Basmaji
91,"$2,225,098",Le Week-End,3/14,2014,tt2392326,Le Week-End,2013,93,Comedy,Drama,Romance,6.3,6868,Roger Michell,Hanif Kureishi
92,"$2,025,328",The Immigrant,5/16,2014,tt1951181,The Immigrant,2013,120,Drama,Romance,,6.6,24863,James Gray,James Gray
93,"$1,826,705",Tusk,9/19,2014,tt3099498,Tusk,2014,102,Comedy,Drama,Horror,5.4,36757,Kevin Smith,Kevin Smith
94,"$1,436,243","Two Days, One Night",12/24,2014,tt2737050,"Two Days, One Night",2014,95,Drama,,,7.4,38762,Luc Dardenne,Jean-Pierre Dardenne
95,"$1,375,769",Locke,4/25,2014,tt6103292,Lock,2016,92,Thriller,,,6.4,83,Smeep Kang,Pali Bhupinder Singh
96,"$1,359,497",Force Majeure,10/24,2014,tt2121382,Force Majeure,2014,120,Comedy,Drama,,7.3,38016,Ruben ?stlund,Ruben ?stlund
97,"$1,264,515",Jai Ho,1/24,2014,tt1188982,Jai Ho,2014,135,Action,Drama,,5.3,14230,Sohail Khan,A.R. Murugadoss
98,"$1,232,018",Singham Returns,8/15,2014,tt2309764,Singham Returns,2014,142,Action,Drama,,5.7,5920,Rohit Shetty,Rohit Shetty
99,"$1,189,612",Repentance,2/28,2014,tt2012665,Repentance,2013,90,Drama,Horror,Thriller,4.8,1985,Philippe Caland,Shintaro Shimosawa
100,"$1,169,603",The Remaining,9/5,2014,tt2714380,The Remaining,2014,88,Horror,Thriller,,4.3,5930,Casey La Scala,Casey La Scala
101,"$1,114,423",The Rover,6/13,2014,tt2345737,The Rover,2014,103,Action,Crime,Drama,6.4,38004,David Mich?d,Joel Edgerton
102,"$1,066,981",Laggies,10/24,2014,tt2034031,Laggies,2014,99,Comedy,Drama,Romance,6.4,36090,Lynn Shelton,Andrea Seigel
103,"$1,021,398",Third Person,6/20,2014,tt2343793,Third Person,2013,137,Drama,Romance,,6.4,23499,Paul Haggis,Paul Haggis
104,"$1,021,398",Third Person,6/20,2014,tt4076360,Third Person,2015,57,Documentary,Drama,,8.5,8,Sharon Luzon,Sharon Luzon
105,"$1,008,726",Enemy,3/14,2014,tt2316411,Enemy,2013,91,Mystery,Thriller,,6.9,127196,Denis Villeneuve,Jos¨¦ Saramago
106,"$1,008,726",Enemy,3/14,2014,tt2941856,Enemmy,2013,\N,Action,Crime,Drama,5.3,187,Ashu Trikha,Dileep Shukla
107,"$964,413",The Babadook,11/28,2014,tt2321549,The Babadook,2014,93,Drama,Horror,,6.8,151204,Jennifer Kent,Jennifer Kent
108,"$846,704",Atlas Shrugged Part III: Who Is John Galt?,9/12,2014,tt2800038,Atlas Shrugged: Who Is John Galt?,2014,99,Drama,Mystery,Sci-Fi,4.4,2297,James Manera,James Manera
109,"$817,192",Kochadaiiyaan,5/23,2014,tt2339505,Kochadaiiyaan,2014,124,Action,Animation,,6.6,4288,Soundarya R. Ashwin,K.S. Ravikumar
110,"$785,896",Nymphomaniac: Volume I,3/21,2014,tt1937390,Nymphomaniac: Vol. I,2013,117,Drama,,,7.0,98182,Lars von Trier,Lars von Trier
111,"$777,896",Breakup Buddies,10/3,2014,tt3890264,Breakup Buddies,2014,116,Comedy,Drama,Romance,6.4,1054,Hao Ning,Runnian Dong
112,"$767,732",Palo Alto,5/9,2014,tt2479800,Palo Alto,2013,100,Drama,,,6.2,23932,Gia Coppola,Gia Coppola
113,"$730,530",Ek Villain,6/27,2014,tt3175038,Ek Villain,2014,129,Action,Crime,Drama,6.4,13468,Mohit Suri,Tushar Hiranandani
114,"$705,908","Men, Women & Children",10/1,2014,tt3179568,"Men, Women & Children",2014,119,Comedy,Drama,,6.7,26405,Jason Reitman,Jason Reitman
115,"$587,774",The Disappearance of Eleanor Rigby,9/12,2014,tt3729920,The Disappearance of Eleanor Rigby: Them,2014,123,Drama,Romance,,6.3,10038,Ned Benson,Ned Benson
116,"$549,185",23 Blast,10/24,2014,tt2304459,23 Blast,2014,98,Drama,Family,Sport,6.4,1452,Dylan Baker,Bram Hoover
117,"$543,044",On Any Sunday: The Next Chapter,11/7,2014,tt2872570,On Any Sunday: The Next Chapter,2014,90,Action,Adventure,Documentary,7.1,332,Dana Brown,Dana Brown
118,"$523,511",Dom Hemingway,4/2,2014,tt2402105,Dom Hemingway,2013,93,Comedy,Crime,Drama,6.2,23538,Richard Shepard,Richard Shepard
119,"$513,447",The One I Love,8/22,2014,tt2756032,The One I Love,2014,91,Drama,Fantasy,Romance,7.1,28725,Charlie McDowell,Justin Lader
120,"$507,463",The Two Faces of January,9/26,2014,tt1976000,The Two Faces of January,2014,96,Romance,Thriller,,6.2,25733,Hossein Amini,Hossein Amini
121,"$444,179",In Secret,2/21,2014,tt0409379,In Secret,2013,107,Crime,Drama,Thriller,6.2,6456,Charlie Stratton,Neal Bell
122,"$428,318",Beijing Love Story,2/14,2014,tt3505950,Beijing Love Story,2014,121,Drama,Romance,,5.9,282,Sicheng Chen,Sicheng Chen
123,"$427,418",Cold in July,5/23,2014,tt1179031,Cold in July,2014,109,Crime,Thriller,,6.8,29917,Jim Mickle,Nick Damici
124,"$390,099",Goodbye to Language,10/24,2014,tt2400275,Goodbye to Language,2014,70,Drama,Fantasy,,5.9,4582,Jean-Luc Godard,Jean-Luc Godard
125,"$380,011",Humpty Sharma Ki Dulhania,7/11,2014,tt3678938,Humpty Sharma Ki Dulhania,2014,133,Comedy,Drama,Romance,6.1,8812,Shashank Khaitan,Shashank Khaitan
126,"$340,911",Jimi: All Is By My Side,9/26,2014,tt2402085,Jimi: All Is by My Side,2013,118,Biography,Drama,Music,5.6,5279,John Ridley,John Ridley
127,"$338,523",Chinese Puzzle,5/16,2014,tt1937118,Chinese Puzzle,2013,117,Comedy,Drama,Romance,7.0,11587,C¨¦dric Klapisch,C¨¦dric Klapisch
128,"$334,616","Like Father, Like Son (2014)",1/17,2014,tt2331143,"Like Father, Like Son",2013,121,Drama,,,7.8,15429,Hirokazu Koreeda,Hirokazu Koreeda
129,"$327,167",Nymphomaniac: Volume II,4/4,2014,tt1937390,Nymphomaniac: Vol. I,2013,117,Drama,,,7.0,98182,Lars von Trier,Lars von Trier
130,"$317,324",On My Way,3/14,2014,tt2289538,On My Way,2013,116,Comedy,Drama,,6.4,1918,Emmanuelle Bercot,Emmanuelle Bercot
131,"$306,917",A Five Star Life,7/18,2014,tt2261434,A Five Star Life,2013,85,Drama,Romance,,6.3,1894,Maria Sole Tognazzi,Ivan Cotroneo
132,"$303,187",Mood Indigo,7/18,2014,tt2027140,Mood Indigo,2013,131,Comedy,Drama,Fantasy,6.5,13326,Michel Gondry,Michel Gondry
133,"$293,680",The Dance of Reality,5/23,2014,tt2301592,The Dance of Reality,2013,133,Biography,Drama,Fantasy,7.5,5873,Alejandro Jodorowsky,Alejandro Jodorowsky
134,"$288,545",The Last of Robin Hood,8/29,2014,tt2450440,The Last of Robin Hood,2013,94,Biography,Drama,Romance,5.7,1726,Richard Glatzer,Richard Glatzer
135,"$276,497",The Unknown Known,4/4,2014,tt2390962,The Unknown Known,2013,103,Biography,Documentary,History,7.1,3391,Errol Morris,Errol Morris
136,"$274,579",Main Tera Hero,4/4,2014,tt2762334,Main Tera Hero,2014,128,Action,Comedy,Romance,5.3,5978,David Dhawan,Tushar Hiranandani
137,"$258,237",The Green Prince,9/12,2014,tt2304915,The Green Prince,2014,101,Biography,Documentary,,7.2,2385,Nadav Schirman,Nadav Schirman
138,"$247,159",The Galapagos Affair: Satan Came to Eden,4/4,2014,tt2960450,The Galapagos Affair: Satan Came to Eden,2013,120,Biography,Crime,Documentary,6.8,1074,Dayna Goldfine,Dayna Goldfine
139,"$230,880",Diplomacy,10/15,2014,tt3129564,Diplomacy,2014,84,Drama,War,,7.1,4100,Volker Schl?ndorff,Cyril Gely
140,"$208,959",The Breakup Guru,6/27,2014,tt2282737,The Breakup Girl,2015,90,Comedy,Drama,,4.9,120,Stacy Sherman,Stacy Sherman
141,"$208,693",Rob the Mob,3/21,2014,tt2481480,Rob the Mob,2014,104,Crime,Drama,,6.3,9718,Raymond De Felitta,Jonathan Fernandez
142,"$202,348",Jinn,4/4,2014,tt1562899,Jinn,2014,97,Thriller,,,4.2,4073,Ajmal Zaheer Ahmad,Ajmal Zaheer Ahmad
143,"$201,700",Bethlehem,3/7,2014,tt2915160,Bethlehem,2013,99,Drama,Thriller,,7.2,1792,Yuval Adler,Yuval Adler
144,"$201,700",Bethlehem,3/7,2014,tt5065924,Bethlehem,2015,\N,Comedy,,,8.8,19,Michael Malone,Joshua Hull
145,"$176,979",Anita,3/21,2014,tt2481202,Anita,2013,95,Documentary,History,,6.5,338,Freida Lee Mock,Freida Lee Mock
146,"$172,343",That Demon Within,4/18,2014,tt3511542,That Demon Within,2014,111,Action,Crime,,6.0,1114,Dante Lam,Wai Lun Ng
147,"$159,862",Sinbad: The Fifth Voyage,2/7,2014,tt1403862,Sinbad: The Fifth Voyage,2014,89,Action,Adventure,Fantasy,5.8,5021,Shahin Sean Solimon,Shahin Sean Solimon
148,"$151,098",Dancing in Jaffa,4/11,2014,tt2125480,Dancing in Jaffa,2013,90,Documentary,Drama,Family,6.5,246,Hilla Medalia,Philip Shane
149,"$143,178",Kids For Cash,2/7,2014,tt2925642,Kids for Cash,2013,102,Crime,Documentary,Drama,7.1,1766,Robert May,Robert May
150,"$116,044",Zero Motivation,12/3,2014,tt3576084,Zero Motivation,2014,97,Comedy,Drama,,7.4,3371,Talya Lavie,Talya Lavie
151,"$113,276",God the Father,10/17,2014,tt3722118,God the Father,2014,101,Documentary,,,6.3,634,Simon Fellows,Moshe Diamant
152,"$113,067",The Liberator,10/3,2014,tt4518376,The Liberators,2016,61,Documentary,History,Mystery,7.5,10,Cassie Hay,Cassie Hay
153,"$112,159",Penton: The John Penton Story,6/23,2014,tt3110272,Penton: The John Penton Story,2014,135,Adventure,Biography,Documentary,6.0,9,Todd Huffman,Todd Huffman
154,"$110,763",The Overnighters,10/10,2014,tt3263996,The Overnighters,2014,102,Documentary,Drama,,7.5,2113,Jesse Moss,Jesse Moss
155,"$106,771",Ivory Tower,6/13,2014,tt3263520,Ivory Tower,2014,90,Documentary,Family,History,7.0,1147,Andrew Rossi,Andrew Rossi
156,"$102,931",The Golden Era,10/17,2014,tt3696086,The Golden Era,2014,177,Biography,Drama,Romance,6.4,818,Ann Hui,Qiang Li
157,"$102,757",God Help the Girl,9/5,2014,tt2141751,God Help the Girl,2014,112,Drama,Musical,Romance,6.4,7628,Stuart Murdoch,Stuart Murdoch
158,"$102,617",Coherence,6/20,2014,tt2866360,Coherence,2013,89,Mystery,Sci-Fi,Thriller,7.2,77929,James Ward Byrkit,James Ward Byrkit
159,"$101,196",One Chance,10/10,2014,tt1196956,One Chance,2013,103,Biography,Comedy,Drama,6.8,9779,David Frankel,Justin Zackham
160,"$101,074",Beyond Sight: The Derek Rabelo Story,3/7,2014,tt2933292,Beyond Sight: The Derek Rabelo Story,2014,84,Adventure,Documentary,Family,8.1,13,Bryan S. Jennings,Bryan S. Jennings
161,"$92,384",Cuban Fury,4/11,2014,tt2390237,Cuban Fury,2014,98,Comedy,Romance,Sport,6.2,16277,James Griffiths,Jon Brown
162,"$89,787",Pump,9/19,2014,tt1199779,Pup,2013,81,Adventure,Animation,Comedy,3.5,290,Francis Nielsen,Segundo Altolaguirre
163,"$89,661",Breathe In,3/28,2014,tt1999987,Breathe In,2013,98,Drama,Romance,,6.4,12426,Drake Doremus,Drake Doremus
164,"$84,464",Watermark,4/4,2014,tt3106868,Watermark,2013,92,Documentary,,,6.8,803,Jennifer Baichwal,Jennifer Baichwal
165,"$72,078",Veil of Tears,3/28,2014,tt3163908,Veil of Tears,2014,90,Documentary,Drama,News,9.0,59,Kenny Saylors,Kenny Saylors
166,"$70,918",The Better Angels,11/7,2014,tt2316868,The Better Angels,2014,95,Biography,Drama,History,6.1,1129,A.J. Edwards,A.J. Edwards
167,"$64,065",Art of the Steal,3/14,2014,tt2172985,The Art of the Steal,2013,90,Comedy,Crime,Thriller,6.3,20930,Jonathan Sobol,Jonathan Sobol
168,"$63,063",No Tears for the Dead,6/13,2014,tt3697566,No Tears for the Dead,2014,116,Action,Thriller,,6.8,4415,Jeong-beom Lee,Jeong-beom Lee
169,"$61,067",Young and Beautiful,4/25,2014,tt2752200,Young & Beautiful,2013,95,Drama,Romance,,6.8,26839,Fran?ois Ozon,Fran?ois Ozon
170,"$60,537",Siddharth,6/27,2014,tt2932606,Siddharth,2013,96,Drama,,,7.3,507,Richie Mehta,Maureen Dorey
171,"$60,537",Siddharth,6/27,2014,tt5507266,Siddhartha,2015,149,Comedy,Drama,Romance,7.7,15,Prakash,Prakash
172,"$59,209",Walk of Shame,5/2,2014,tt2463288,Walk of Shame,2014,95,Comedy,,,6.0,45788,Steven Brill,Steven Brill
173,"$57,474",Borgman,6/6,2014,tt1954315,Borgman,2013,113,Drama,Mystery,Thriller,6.8,13536,Alex van Warmerdam,Alex van Warmerdam
